URL	TYPE	TIMEFRAME	filename	full_path
https://www.wga.hu/html/a/aachen/allegory.html	mythological	1601-1650	allegory.jpg	/home/noam/bin/art_or_trash/img/train/allegory.jpg
https://www.wga.hu/html/a/aachen/bacchus.html	mythological	1601-1650	bacchus.jpg	/home/noam/bin/art_or_trash/img/train/bacchus.jpg
https://www.wga.hu/html/a/aachen/j_couple.html	genre	1601-1650	j_couple.jpg	/home/noam/bin/art_or_trash/img/train/j_couple.jpg
https://www.wga.hu/html/a/aachen/rudolf2.html	portrait	1601-1650	rudolf2.jpg	/home/noam/bin/art_or_trash/img/train/rudolf2.jpg
https://www.wga.hu/html/a/aachen/selfport.html	portrait	1601-1650	selfport.jpg	/home/noam/bin/art_or_trash/img/train/selfport.jpg
https://www.wga.hu/html/a/aagaard/deerlake.html	landscape	1851-1900	deerlake.jpg	/home/noam/bin/art_or_trash/img/train/deerlake.jpg
https://www.wga.hu/html/a/aagaard/rosegard.html	landscape	1851-1900	rosegard.jpg	/home/noam/bin/art_or_trash/img/train/rosegard.jpg
https://www.wga.hu/html/a/abadia/michael.html	religious	1451-1500	michael.jpg	/home/noam/bin/art_or_trash/img/train/michael.jpg
https://www.wga.hu/html/a/abaquesn/albarell.html	other	1501-1550	albarell.jpg	/home/noam/bin/art_or_trash/img/train/albarell.jpg
https://www.wga.hu/html/a/abaquesn/floor1.html	other	1501-1550	floor1.jpg	/home/noam/bin/art_or_trash/img/train/floor1.jpg
https://www.wga.hu/html/a/abaquesn/floor2.html	other	1501-1550	floor2.jpg	/home/noam/bin/art_or_trash/img/train/floor2.jpg
https://www.wga.hu/html/a/abaquesn/theflood.html	religious	1501-1550	theflood.jpg	/home/noam/bin/art_or_trash/img/train/theflood.jpg
https://www.wga.hu/html/a/abbate/chimney1.html	other	1501-1550	chimney1.jpg	/home/noam/bin/art_or_trash/img/train/chimney1.jpg
https://www.wga.hu/html/a/abbate/chimney2.html	other	1501-1550	chimney2.jpg	/home/noam/bin/art_or_trash/img/train/chimney2.jpg
https://www.wga.hu/html/a/abbate/deerhunt.html	landscape	1501-1550	deerhunt.jpg	/home/noam/bin/art_or_trash/img/train/deerhunt.jpg
https://www.wga.hu/html/a/abbate/orpheus.html	mythological	1501-1550	orpheus.jpg	/home/noam/bin/art_or_trash/img/train/orpheus.jpg
https://www.wga.hu/html/a/abbate/proserpi.html	mythological	1501-1550	proserpi.jpg	/home/noam/bin/art_or_trash/img/train/proserpi.jpg
https://www.wga.hu/html/a/abbate/scipio.html	mythological	1501-1550	scipio.jpg	/home/noam/bin/art_or_trash/img/train/scipio.jpg
https://www.wga.hu/html/a/abbati/abbati1.html	landscape	1851-1900	abbati1.jpg	/home/noam/bin/art_or_trash/img/train/abbati1.jpg
https://www.wga.hu/html/a/abbati/abbati2.html	landscape	1851-1900	abbati2.jpg	/home/noam/bin/art_or_trash/img/train/abbati2.jpg
https://www.wga.hu/html/a/abbati/abbati3.html	landscape	1851-1900	abbati3.jpg	/home/noam/bin/art_or_trash/img/train/abbati3.jpg
https://www.wga.hu/html/a/abbati/abbati4.html	portrait	1851-1900	abbati4.jpg	/home/noam/bin/art_or_trash/img/train/abbati4.jpg
https://www.wga.hu/html/a/abbatini/cornaro.html	religious	1601-1650	cornaro.jpg	/home/noam/bin/art_or_trash/img/train/cornaro.jpg
https://www.wga.hu/html/a/abeele/commemo1.html	historical	1601-1650	commemo1.jpg	/home/noam/bin/art_or_trash/img/train/commemo1.jpg
https://www.wga.hu/html/a/abeele/commemo2.html	historical	1601-1650	commemo2.jpg	/home/noam/bin/art_or_trash/img/train/commemo2.jpg
https://www.wga.hu/html/a/abeele/william3.html	historical	1601-1650	william3.jpg	/home/noam/bin/art_or_trash/img/train/william3.jpg
https://www.wga.hu/html/a/abildgaa/andria1.html	mythological	1751-1800	andria1.jpg	/home/noam/bin/art_or_trash/img/train/andria1.jpg
https://www.wga.hu/html/a/abildgaa/andria2.html	mythological	1751-1800	andria2.jpg	/home/noam/bin/art_or_trash/img/train/andria2.jpg
https://www.wga.hu/html/a/abildgaa/culmingh.html	other	1751-1800	culmingh.jpg	/home/noam/bin/art_or_trash/img/train/culmingh.jpg
https://www.wga.hu/html/a/abildgaa/philocte.html	mythological	1751-1800	philocte.jpg	/home/noam/bin/art_or_trash/img/train/philocte.jpg
https://www.wga.hu/html/a/abildgaa/z_adamev.html	religious	1751-1800	z_adamev.jpg	/home/noam/bin/art_or_trash/img/train/z_adamev.jpg
https://www.wga.hu/html/a/abondio/maximili.html	portrait	1551-1600	maximili.jpg	/home/noam/bin/art_or_trash/img/train/maximili.jpg
https://www.wga.hu/html/a/acero/cadiz1.html	other	1701-1750	cadiz1.jpg	/home/noam/bin/art_or_trash/img/train/cadiz1.jpg
https://www.wga.hu/html/a/acero/cadiz2.html	other	1701-1750	cadiz2.jpg	/home/noam/bin/art_or_trash/img/train/cadiz2.jpg
https://www.wga.hu/html/a/achenbac/firework.html	landscape	1851-1900	firework.jpg	/home/noam/bin/art_or_trash/img/train/firework.jpg
https://www.wga.hu/html/a/adam1/battle.html	historical	1801-1850	battle.jpg	/home/noam/bin/art_or_trash/img/train/battle.jpg
https://www.wga.hu/html/a/adam1/hunt.html	genre	1801-1850	hunt.jpg	/home/noam/bin/art_or_trash/img/train/hunt.jpg
https://www.wga.hu/html/a/adam/lambert/child_lo.html	other	1701-1750	child_lo.jpg	/home/noam/bin/art_or_trash/img/train/child_lo.jpg
https://www.wga.hu/html/a/adam/lambert/neptune.html	mythological	1701-1750	neptune.jpg	/home/noam/bin/art_or_trash/img/train/neptune.jpg
https://www.wga.hu/html/a/adam/lambert/neptune1.html	mythological	1701-1750	neptune1.jpg	/home/noam/bin/art_or_trash/img/train/neptune1.jpg
https://www.wga.hu/html/a/adam/lambert/selfport.html	portrait	1701-1750	selfport.jpg	/home/noam/bin/art_or_trash/img/train/selfport.jpg
https://www.wga.hu/html/a/adam/lambert/water.html	other	1701-1750	water.jpg	/home/noam/bin/art_or_trash/img/train/water.jpg
https://www.wga.hu/html/a/adam/nicolas/martyrdo.html	religious	1701-1750	martyrdo.jpg	/home/noam/bin/art_or_trash/img/train/martyrdo.jpg
https://www.wga.hu/html/a/adam/nicolas/opalinsk.html	religious	1701-1750	opalinsk.jpg	/home/noam/bin/art_or_trash/img/train/opalinsk.jpg
https://www.wga.hu/html/a/adam/nicolas/opalinsx.html	religious	1701-1750	opalinsx.jpg	/home/noam/bin/art_or_trash/img/train/opalinsx.jpg
https://www.wga.hu/html/a/adam/nicolas/promethe.html	mythological	1701-1750	promethe.jpg	/home/noam/bin/art_or_trash/img/train/promethe.jpg
